vertical0 external syscall witness — the trace is controlling.
Earned by a PASS below: "the implementation invoked its declared durability protocol before the process-death boundary" — never power-loss durability, never storage-stack tolerance (contract §1.2).

-- campaign life 1 (mneme/vertical0/runs/campaign-1/trace-life1.txt) --
[W001] ok   campaign life 1: trace parsed (1774 fd-resolved records)
[W028] ok   campaign life 4: boundary PROJECTION-COMMITTED readiness at line 1079 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1072 < last fsync(EVENTS.pj0)@1073 < READY@1079)
[W029] ok   campaign life 4: boundary PROJECTION-COMMITTED readiness at line 1435 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1428 < last fsync(EVENTS.pj0)@1429 < READY@1435)
[W030] ok   campaign life 4: write-replace of seat-cold-supper-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1352) and fsync(parent directory) followed it; close alone was never the durability primitive
[W031] ok   campaign life 4 (W4): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W032] ok   campaign life 4 (W4): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W033] ok   campaign life 4: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W034] ok   campaign life 4: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)
[W035] ok   campaign life 4: zero fdatasync calls — the declared barrier is fsync and only fsync appears

-- campaign life 5 (mneme/vertical0/runs/campaign-1/trace-life5.txt) --
[W036] ok   campaign life 5: trace parsed (1600 fd-resolved records)
[W037] ok   campaign life 5: write-replace of seat-late-riser-envelope.bin.tmp — fsync(tmp) preceded the rename (line 1329) and fsync(parent directory) followed it; close alone was never the durability primitive
[W038] ok   campaign life 5: write-replace of campaign-export.sexp.tmp — fsync(tmp) preceded the rename (line 1725) and fsync(parent directory) followed it; close alone was never the durability primitive
[W039] ok   campaign life 5: write-replace of campaign-export.sexp.tmp — fsync(tmp) preceded the rename (line 1733) and fsync(parent directory) followed it; close alone was never the durability primitive
[W040] ok   campaign life 5: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W041] ok   campaign life 5: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)
[W042] ok   campaign life 5: zero fdatasync calls — the declared barrier is fsync and only fsync appears

-- control-a life 1 (mneme/vertical0/runs/control-a/trace-life1.txt) --
[W043] ok   control-a life 1: trace parsed (925 fd-resolved records)
[W044] ok   control-a life 1: boundary EFFECT-FRONTIER-CROSSED-UNSETTLED readiness at line 1052 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1045 < last fsync(EVENTS.pj0)@1046 < READY@1052)
[W045] ok   control-a life 1 (W1): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W046] ok   control-a life 1 (W1): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W047] ok   control-a life 1: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W048] ok   control-a life 1: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)

-- control-a life 2 (mneme/vertical0/runs/control-a/trace-life2.txt) --
[W049] ok   control-a life 2: trace parsed (919 fd-resolved records)
[W050] ok   control-a life 2: boundary CONTROL-DISPOSITION-COMMITTED readiness at line 950 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@938 < last fsync(EVENTS.pj0)@939 < READY@950)
[W051] ok   control-a life 2: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W052] ok   control-a life 2: the class-B provider domain was opened ONLY inside the declared reconciliation reader — every open comes AFTER the banked CONTROL-DISPOSITION-COMMITTED readiness

-- control-b life 1 (mneme/vertical0/runs/control-b/trace-life1.txt) --
[W053] ok   control-b life 1: trace parsed (925 fd-resolved records)
[W054] ok   control-b life 1: boundary EFFECT-FRONTIER-CROSSED-UNSETTLED readiness at line 1052 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@1045 < last fsync(EVENTS.pj0)@1046 < READY@1052)
[W055] ok   control-b life 1 (W1): between the final READY and SIGKILL there is NO semantic write of any kind (no write/pwrite/rename/unlink on any fd)
[W056] ok   control-b life 1 (W1): the child died BLOCKED in read(0, ...) — the in-flight syscall at SIGKILL is the wait pipe read (trace-controlling blocked-state proof)
[W057] ok   control-b life 1: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W058] ok   control-b life 1: the class-B provider domain was NEVER opened (no reconciliation reader ran in this life)

-- control-b life 2 (mneme/vertical0/runs/control-b/trace-life2.txt) --
[W059] ok   control-b life 2: trace parsed (919 fd-resolved records)
[W060] ok   control-b life 2: boundary CONTROL-DISPOSITION-COMMITTED readiness at line 950 came AFTER the last journal append's fsync (last write(EVENTS.pj0)@938 < last fsync(EVENTS.pj0)@939 < READY@950)
[W061] ok   control-b life 2: read-set proof — the child NEVER opened the oracle artifact, any harness-private directory, or any corpse snapshot
[W062] ok   control-b life 2: the class-B provider domain was opened ONLY inside the declared reconciliation reader — every open comes AFTER the banked CONTROL-DISPOSITION-COMMITTED readiness

vertical0 witness: 62 checks, 0 failures
RESULT: PASS
