provider	fact	accessor	provenance	bearer	measured-this-session	notes
LISP-PLUS-SURFACE1 (Surface /1)	request source datum + source form identity	LISP-PLUS-SURFACE1:EXPANSION-REQUEST-SOURCE-FORM-{DATUM,IDENTITY}	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE2 (Surface /2)	receipt identity (opaque native identity datum)	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- read off a minted receipt; 1792 canonical octets	DIFFERENT DOMAIN from Surface /1: the identity's inner segments read ':surface2-receipt' / ':surface2-occurrence' / ':surface2-request' inside 'lisp-plus-surface2', where S1 reads ':receipt' / ':occurrence' / ':request' inside 'lisp-plus-surface1'. The two native receipt identities inhabit different domains -- measured, not assumed.
LISP-PLUS-SURFACE2 (Surface /2)	originating request identity	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-REQUEST-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	occurrence object	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-OCCURRENCE	receipt-stored	the native receipt record the inspector holds	yes -- returned a native EXPANSION-OCCURRENCE	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	occurrence identity	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-OCCURRENCE-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	occurrence tag	LISP-PLUS-SURFACE2:EXPANSION-OCCURRENCE-OCCURRENCE-TAG (via EXPANSION-RECEIPT-OCCURRENCE)	occurrence-stored	the native occurrence record carried by the receipt	yes -- returned a CD/0 %IDENTIFIER-DATUM	Same shape as Surface /1: no receipt-level tag accessor.
LISP-PLUS-SURFACE2 (Surface /2)	source datum	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-SOURCE-FORM-DATUM	receipt-stored	the native receipt record the inspector holds	yes -- CD/0 %RECORD-DATUM	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	source form identity	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-SOURCE-FORM-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	expanded datum	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-EXPANDED-FORM-DATUM	receipt-stored	the native receipt record the inspector holds	yes -- CD/0 %RECORD-DATUM	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	expanded form identity	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-EXPANDED-FORM-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	operation	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-OPERATION	receipt-stored	the native receipt record the inspector holds	yes -- measured :MACROEXPAND-1	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	construct identity	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-CONSTRUCT-IDENTITY	receipt-stored	the native receipt record the inspector holds	yes -- accessor present	Opaque; domain 'lisp-plus-surface2'.
LISP-PLUS-SURFACE2 (Surface /2)	expansion context	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-EXPANSION-CONTEXT	receipt-stored	the native receipt record the inspector holds	yes -- CD/0 %RECORD-DATUM	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	disposition	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-DISPOSITION	receipt-stored	the native receipt record the inspector holds	yes -- measured the STRING "expanded-once"	VALUE DOMAIN DIFFERS FROM SURFACE /1, which returns the KEYWORD :MACROEXPANDED-ONE-STEP from the same print-name. A shared print-name whose value TYPE differs is the sharpest available refutation of shared identity.
LISP-PLUS-SURFACE2 (Surface /2)	grammar VERSION at mint time	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-GRAMMAR-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 3	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	procedure VERSION at mint time	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-PROCEDURE-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 3	TEETH: raised SIMPLE-TYPE-ERROR on NIL / 42 / a string.
LISP-PLUS-SURFACE2 (Surface /2)	policy VERSION at mint time	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-POLICY-VERSION	receipt-stored	the native receipt record the inspector holds	yes -- measured 1	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	grammar IDENTITY at mint time	(no accessor exists)	unavailable	no bearer -- no public accessor exists	yes -- absent from the 98 external symbols	Same absence as Surface /1.
LISP-PLUS-SURFACE2 (Surface /2)	procedure IDENTITY 'of the receipt'	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-PROCEDURE-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- returned a value for NIL, 42 and "not-a-receipt"	THE TRAP. surface2.lisp:786-787 is (defun expansion-receipt-procedure-identity (r) (declare (ignore r)) (surface2-procedure-identity)). Live declaration, not receipt history.
LISP-PLUS-SURFACE2 (Surface /2)	policy IDENTITY 'of the receipt'	LISP-PLUS-SURFACE2:EXPANSION-RECEIPT-POLICY-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- returned a value for NIL, 42 and "not-a-receipt"	THE TRAP. surface2.lisp:788-789, same shape.
LISP-PLUS-SURFACE2 (Surface /2)	live grammar identity	LISP-PLUS-SURFACE2:SURFACE2-GRAMMAR-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- domain 'lisp-plus-surface2', segment 'term2'	NOTE the accessor NAME differs from Surface /1's: SURFACE2-GRAMMAR-IDENTITY vs EXPANSION-GRAMMAR-IDENTITY. The declaration readers are NOT among the 54 shared print-names.
LISP-PLUS-SURFACE2 (Surface /2)	live procedure identity	LISP-PLUS-SURFACE2:SURFACE2-PROCEDURE-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- 51 canonical octets	no additional observation
LISP-PLUS-SURFACE2 (Surface /2)	live policy identity	LISP-PLUS-SURFACE2:SURFACE2-POLICY-IDENTITY	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- policy segment 'ceilings'	Segment differs from S1's 'candidate'.
LISP-PLUS-SURFACE2 (Surface /2)	live grammar / procedure / policy versions	LISP-PLUS-SURFACE2:SURFACE2-{GRAMMAR,PROCEDURE,POLICY}-VERSION	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- measured 3 / 3 / 1	Matches the commission's stated expectation.
LISP-PLUS-SURFACE2 (Surface /2)	declared operations	LISP-PLUS-SURFACE2:SURFACE2-EXPANSION-OPERATIONS	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- (:MACROEXPAND-1 :MACROEXPAND)	Same VALUE as Surface /1; different accessor name and different declaring package.
LISP-PLUS-SURFACE2 (Surface /2)	declared closed head set	LISP-PLUS-SURFACE2:KNOWN-SURFACE2-CONSTRUCTS	provider-current-declaration	the LIVE provider image at read time -- NOT any artifact	yes -- (("LISP-PLUS-SURFACE2" "WITH-OUTCOME") ("LISP-PLUS-SURFACE2" "MATCH-OUTCOME"))	SHAPE DIFFERS FROM SURFACE /1: S2 returns bare (namespace name) LISTS; S1 returns entry objects read with SURFACE-CONSTRUCT-ENTRY-*. S2 exports no construct-entry accessors at all.
LISP-PLUS-SURFACE2 (Surface /2)	refusal category / code / phase / detail / identity	LISP-PLUS-SURFACE2:EXPANSION-REFUSAL-{CATEGORY,CODE,PHASE,DETAIL,IDENTITY}	refusal-record-stored	the native refusal record (a third native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- measured :PROTOCOL-REFUSAL / :SOURCE-FORM-NOT-A-CALL / :REQUEST / "the source form is not a cons"	Same print-names and same measured values as Surface /1 on the corresponding refusal -- and still NOT the same symbols, the same struct type, or the same condition hierarchy.
LISP-PLUS-SURFACE2 (Surface /2)	UPSTREAM refusal category / code / stage	(no accessors exist)	unavailable	no bearer -- no public accessor exists	yes -- absent from the 98 external symbols; applying S1's UPSTREAM accessor to an S2 refusal raised TYPE-ERROR	CONFIRMS the commission: Surface /1 retains upstream refusal fields that Surface /2 does not. An account spanning both cannot project a total upstream column.
LISP-PLUS-SURFACE2 (Surface /2)	refusal carried on a signalled condition	LISP-PLUS-SURFACE2:EXPANSION-CONDITION-REFUSAL	condition-stored-reference	the signalled condition, which bears the carrying relation to the retained refusal (Locked Ruling 5: the carrying relation is borne by the condition, not the refusal record)	yes -- via a handler for LISP-PLUS-SURFACE2:SURFACE2-EXPANSION-REFUSED	Condition hierarchies are disjoint: (subtypep 'SURFACE2-EXPANSION-REFUSED 'LISP-PLUS-SURFACE1:EXPANSION-REFUSED) measured NIL, and an S1 handler did not catch an S2 refusal. SURFACE2-NOT-AN-OUTCOME measured a SUBTYPE of SURFACE2-EXPANSION-REFUSED. Label condition-stored-reference per owner adjudication Locked Ruling 5 (was OUT-OF-VOCABULARY:refusal-record-stored in R0).
LISP-PLUS-SURFACE2 (Surface /2)	verifier output	LISP-PLUS-SURFACE2:VERIFY-RECEIPT	provider-recomputation	the provider's bounded re-derivation from the receipt's stored datums	yes -- returned T on a native receipt; SIGNALLED SURFACE2-EXPANSION-REFUSED on a Surface /1 receipt	Authoritative standing per owner adjudication Locked Ruling 6: provider-recomputation -- bounded re-derivation of stored source-form and expanded-form identity projections from stored datums; independent of live grammar/procedure/policy declarations. Its continued T after redefinition (Control 6) demonstrates that declaration-independence. Only Surface /2 has a public verifier (confirms the commission). It is not authentication, not receipt-stored, and not an account-derived check.
LISP-PLUS-SURFACE2 (Surface /2)	seat-outcome projection	LISP-PLUS-SURFACE2:DERIVE-SEAT-OUTCOME and SEAT-OUTCOME-*	provider-derived-projection	the provider derives it from caller-supplied events; not an expansion artifact (label first-class per Locked Ruling 5)	yes -- SEAT-OUTCOME is the only exported struct CLASS NAME in either package	Surface /2 only. Outside the expansion-account domain proper; recorded so a future inspector does not mistake it for receipt content.
LISP-PLUS-SURFACE2 (Surface /2)	did the live procedure version move since minting?	compare EXPANSION-RECEIPT-PROCEDURE-VERSION against SURFACE2-PROCEDURE-VERSION	account-derived-check	computed by the account; no single native artifact bears it	yes -- both read 3 in this image	Account-derived. Note the right-hand accessor is NOT the same print-name as Surface /1's.
LISP-PLUS-SURFACE2 (Surface /2)	request identity (opaque native identity datum)	LISP-PLUS-SURFACE2:EXPANSION-REQUEST-IDENTITY	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE2 (Surface /2)	request construct identity (which head was keyed)	LISP-PLUS-SURFACE2:EXPANSION-REQUEST-CONSTRUCT-IDENTITY	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- 'request construct-identity PRESENT (known head)' printed in all fourteen probe cases	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE2 (Surface /2)	request grammar / procedure / policy VERSIONS at request time	LISP-PLUS-SURFACE2:EXPANSION-REQUEST-{GRAMMAR,PROCEDURE,POLICY}-VERSION	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	yes -- printed in all fourteen probe cases (3/3/1); earlier final transcripts mislabelled these lines receipt-stored (probe label corrected post-review)	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
LISP-PLUS-SURFACE2 (Surface /2)	request occurrence tag	LISP-PLUS-SURFACE2:EXPANSION-REQUEST-OCCURRENCE-TAG	request-stored	the native request record (a fourth native artifact; label first-class per Locked Ruling 5, originated as an R0 flag)	enumerated as an external this session; value not printed in the final transcripts	Row added R0 post-review (ADVERSARY F3, entered by JURIST): the request is its own bearer. A request is not a receipt and not an occurrence; labelling a request-borne fact receipt-stored would assert a bearer that does not bear it -- the same argument as the refusal-record rows.
