package	symbol-name	home-package	kind	arglist-if-publicly-documented	arglist-observed-in-image	docstring-present	shared-print-name-with-other-provider	shared-print-name-is-EQ-identity	cross-application-to-foreign-provider-object	observed-value-if-nullary-declaration	role	notes
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-OCCURRENCE-TAG	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-P	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OCCURRENCE-REQUEST-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	occurrence reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-OPERATIONS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:MACROEXPAND-1 :MACROEXPAND)	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-POLICY-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d737572666163653106706f6c696379020963616e6469646174650130"	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-POLICY-MAX-SOURCE-DEPTH	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	48	other	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-POLICY-MAX-SOURCE-NODES	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	20000	other	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-POLICY-MAX-TERM-OCTETS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	262144	other	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-POLICY-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	1	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-PROCEDURE-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	"4c504344002202126c6973702d706c75732d73757266616365310970726f636564757265020b6d6163726f657870616e640130"	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-PROCEDURE-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	4	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-PROTOCOL-REFUSAL-CODES	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	(:SOURCE-FORM-NOT-A-CALL :SOURCE-FORM-HEAD-NOT-A-SYMBOL :OPERATION-NOT-DECLARED :OCCURRENCE-TAG-NOT-IDENTIFIER :SOURCE-TERM-UNREPRESENTABLE :SOURCE-TERM-SHARED-STRUCTURE :SOURCE-DEPTH-EXCEEDED :SOURCE-NODES-EXCEEDED :SOURCE-TERM-OCTETS-EXCEEDED :NOT-A-KNOWN-SURFACE-CONSTRUCT :CONSTRUCT-NOT-A-MACRO :EXPANDED-TERM-UNREPRESENTABLE :EXPANDED-TERM-SHARED-STRUCTURE :SOURCE-NOT-RECONSTRUCTIBLE :EXPANDED-DEPTH-EXCEEDED :EXPANDED-NODES-EXCEEDED :EXPANDED-TERM-OCTETS-EXCEEDED)	declaration	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-CONSTRUCT-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-DISPOSITION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	VALUE DOMAINS DIFFER: S1 measured :MACROEXPANDED-ONE-STEP (keyword); S2 measured "expanded-once" (string). Same print-name, different value type.
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-EXPANDED-FORM-DATUM	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-EXPANDED-FORM-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-EXPANSION-CONTEXT	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-GRAMMAR-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-OCCURRENCE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-OCCURRENCE-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-OPERATION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-P	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-POLICY-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(R)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(%IDENTIFIER-DATUM)	not-a-nullary-declaration	receipt reader	TRAP. Source: surface1.lisp:1075-1076 / surface2.lisp:788-789 -- (declare (ignore r)); returns the LIVE provider declaration. Measured: returns a value for NIL, 42 and a string. NOT receipt-stored.
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-POLICY-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-PROCEDURE-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(R)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(%IDENTIFIER-DATUM)	not-a-nullary-declaration	receipt reader	TRAP. Source: surface1.lisp:1073-1074 / surface2.lisp:786-787 -- (declare (ignore r)); returns the LIVE provider declaration. Measured: returns a value for NIL, 42 and a string. NOT receipt-stored.
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-PROCEDURE-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-REQUEST-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-SOURCE-FORM-DATUM	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-RECEIPT-SOURCE-FORM-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	receipt reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-CATEGORY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-CODE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-CODE-CATALOG	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	declaration (refusal catalog)	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-DETAIL	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-OCCURRENCE-TAG	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-P	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-PHASE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	refusal reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-UPSTREAM-CATEGORY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal reader (S1-only upstream field)	Surface /1 ONLY -- no Surface /2 counterpart. Measured NIL on a native protocol refusal (populated only when S1 reclassifies a CD/0 refusal).
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-UPSTREAM-CODE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal reader (S1-only upstream field)	Surface /1 ONLY -- no Surface /2 counterpart. Measured NIL on a native protocol refusal.
LISP-PLUS-SURFACE1	EXPANSION-REFUSAL-UPSTREAM-STAGE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	refusal reader (S1-only upstream field)	Surface /1 ONLY -- no Surface /2 counterpart. Measured NIL on a native protocol refusal.
LISP-PLUS-SURFACE1	EXPANSION-REFUSED	LISP-PLUS-SURFACE1	condition-type	unavailable-no-public-docstring	unavailable	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	other	Surface /1 condition type. Measured: does not catch a Surface /2 refusal.
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-CONSTRUCT-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-GRAMMAR-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-OCCURRENCE-TAG	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-OPERATION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-P	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL::OBJECT)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-returns-NIL(predicate-correctly-negative)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-POLICY-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-PROCEDURE-VERSION	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-SOURCE-FORM-DATUM	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	EXPANSION-REQUEST-SOURCE-FORM-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(SB-KERNEL:INSTANCE)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	foreign-object-REJECTED(TYPE-ERROR)	not-a-nullary-declaration	request reader	no additional observation
LISP-PLUS-SURFACE1	IDENTITY-OCTETS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(IDENTITY)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((INTEGER 0 4611686018427387903))	not-a-nullary-declaration	identity utility (CD/0 delegate)	Delegates to CD/0 (octets-length of canonical-octets); provider-agnostic, returns an INTEGER count, not a vector. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	KNOWN-SURFACE-CONSTRUCTS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	("DEFINE-JUDGMENT-SCHEMA" "DEFINE-ADMISSION-CONTRACT" "DEFINE-SLICE2-SCHEMA" "DERIVE-CASE" "DERIVE/2-CASE")	declaration	no additional observation
LISP-PLUS-SURFACE1	PERFORM-EXPANSION	LISP-PLUS-SURFACE1	function	(REQUEST)	(REQUEST)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE1	REFUSAL-CATALOG-ENTRY-CLASS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (second e); surface1.lisp:302 / surface2.lisp:453. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	REFUSAL-CATALOG-ENTRY-CODE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (first e); surface1.lisp:301 / surface2.lisp:452. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	REFUSAL-CATALOG-ENTRY-NOTE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((SIMPLE-ARRAY CHARACTER (62)))	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (fifth e); surface1.lisp:305 / surface2.lisp:456. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	REFUSAL-CATALOG-ENTRY-PHASE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (third e); surface1.lisp:303 / surface2.lisp:454. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	REFUSAL-CATALOG-ENTRY-REACHABILITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED(KEYWORD)	not-a-nullary-declaration	catalog-entry reader (untyped list)	Untyped positional list accessor (fourth e); surface1.lisp:304 / surface2.lisp:455. Cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	RENDER-IDENTITY-HEX	LISP-PLUS-SURFACE1	function	(IDENTITY)	(IDENTITY)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	HAZARD-foreign-object-SILENTLY-ACCEPTED((SIMPLE-ARRAY CHARACTER (3670)))	not-a-nullary-declaration	identity utility (CD/0 delegate)	Provider source marks it DIAGNOSTIC ONLY -- never compared, never a content address. Delegates to CD/0; cross-provider application silently succeeds.
LISP-PLUS-SURFACE1	REQUEST-EXPANSION	LISP-PLUS-SURFACE1	function	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE1	SURFACE-CONSTRUCT-ENTRY-IDENTITY	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	declaration	no additional observation
LISP-PLUS-SURFACE1	SURFACE-CONSTRUCT-ENTRY-NAME	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	construct-entry reader	no additional observation
LISP-PLUS-SURFACE1	SURFACE-CONSTRUCT-ENTRY-NAMESPACE	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	(E)	no	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	construct-entry reader	no additional observation
LISP-PLUS-SURFACE1	TERM-DEPTH-CEILING	LISP-PLUS-SURFACE1	function	()	()	yes	no	not-applicable	not-applicable-print-name-not-shared	2000	declaration	no additional observation
LISP-PLUS-SURFACE1	TERM-KINDS	LISP-PLUS-SURFACE1	function	unavailable-no-public-docstring	()	no	no	not-applicable	not-applicable-print-name-not-shared	("SYMBOL" "INTEGER" "STRING" "LIST")	declaration	no additional observation
LISP-PLUS-SURFACE1	TRY-PERFORM-EXPANSION	LISP-PLUS-SURFACE1	function	(REQUEST)	(REQUEST)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE1	TRY-REQUEST-EXPANSION	LISP-PLUS-SURFACE1	function	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	(SOURCE-FORM OPERATION OCCURRENCE-TAG)	yes	yes	no -- 0 of 54 shared print-names are EQ (measured)	not-tested-not-a-one-argument-reader	not-a-nullary-declaration	door (expansion action)	no additional observation
LISP-PLUS-SURFACE2	DECODE-TERM2	LISP-PLUS-SURFACE2	function	(DATUM)	(DATUM)	yes	no	not-applicable	not-applicable-print-name-not-shared	not-a-nullary-declaration	codec	no additional observation
